|q|Ответ сотрудника|Вопрос из БЗ|Ответ из БЗ|Классификатор 1 уровня|Классификатор 2 уровня|aug_questions|Paraphrase 1|Paraphrase 2|Paraphrase 3
644|Как сделать эксклюзивный стрим?|"Это можно сделать следующим образом: 1) создать стрим на RUTUBE (не запускать);
2) зайти в Студию RUTUBE, там появится видео (по созданному стриму);
3) зайти в редактирование данного видео;
4) установить «Доступ по прямой ссылке»;
5) скопировать ссылку — разослать;
6) запустить поток;
7) если не ставили автостарт на стриме, то нажать «Начать трансляцию» на странице настроек."|Как запустить приватную трансляцию?|"Создайте трансляцию как обычно через Студию: https://rutube.ru/create-stream/ или по кнопке в правом верхнем углу сайта.

Введите название трансляции, выберите тему и нажмите кнопку далее.

В открывшейся странице запуска трансляции пока не нажимайте кнопку «Запустить трансляцию».

Не закрывая вкладку создания трансляции, необходимо открыть в новой вкладке раздел «Видео» в Студии: https://studio.rutube.ru/videos, далее кликните на появившуюся там созданную трансляцию.

В настройках «Ролика» (стрима) измените значение параметра доступа с «Открытый доступ» на «Доступ по прямой ссылке» и нажмите сохранить.

Теперь необходимо перейти в OBS (или любая другая программа для ведения эфиров), возвращайтесь во вкладку со страницей трансляции и запускайте ее.

Далее можете разослать ссылку на трансляцию вашим зрителям. "|ТРАНСЛЯЦИЯ|Управление трансляцией|Как создать эксклюзивный стрим?|1. Ребята, как замутить стрим, которого ещё ни у кого не было?|2. Подскажите, как устроить такой стрим, чтобы никто не повторил?|3. Как сделать такой стрим, чтобы выделяться среди всех?
645|Здравствуйте, как мне утроить приватный стрим?|"Для этого нужно: 1) создать стрим на RUTUBE (не запускать);
2) зайти в Студию RUTUBE, там появится видео (по созданному стриму);
3) зайти в редактирование данного видео;
4) установить «Доступ по прямой ссылке»;
5) скопировать ссылку — разослать;
6) запустить поток;
7) если не ставили автостарт на стриме, то нажать «Начать трансляцию» на странице настроек."|Как запустить приватную трансляцию?|"Создайте трансляцию как обычно через Студию: https://rutube.ru/create-stream/ или по кнопке в правом верхнем углу сайта.

Введите название трансляции, выберите тему и нажмите кнопку далее.

В открывшейся странице запуска трансляции пока не нажимайте кнопку «Запустить трансляцию».

Не закрывая вкладку создания трансляции, необходимо открыть в новой вкладке раздел «Видео» в Студии: https://studio.rutube.ru/videos, далее кликните на появившуюся там созданную трансляцию.

В настройках «Ролика» (стрима) измените значение параметра доступа с «Открытый доступ» на «Доступ по прямой ссылке» и нажмите сохранить.

Теперь необходимо перейти в OBS (или любая другая программа для ведения эфиров), возвращайтесь во вкладку со страницей трансляции и запускайте ее.

Далее можете разослать ссылку на трансляцию вашим зрителям. "|ТРАНСЛЯЦИЯ|Управление трансляцией|Здравствуйте, как мне утроить интимный стрим?|1. Привет, подскажите, пожалуйста, как настроить приватный стрим?|2. Здравствуйте, кто в курсе, как правильно организовать закрытую трансляцию?|3. Доброго времени суток, могу ли я узнать, как сделать стрим приватным?
646|Как сделать личный стрим, чтобы никто не видил?|"Как это сделать:
1) создать стрим на RUTUBE (не запускать);
2) зайти в Студию RUTUBE, там появится видео (по созданному стриму);
3) зайти в редактирование данного видео;
4) установить «Доступ по прямой ссылке»;
5) скопировать ссылку — разослать;
6) запустить поток;
7) если не ставили автостарт на стриме, то нажать «Начать трансляцию» на странице настроек."|Как запустить приватную трансляцию?|"Создайте трансляцию как обычно через Студию: https://rutube.ru/create-stream/ или по кнопке в правом верхнем углу сайта.

Введите название трансляции, выберите тему и нажмите кнопку далее.

В открывшейся странице запуска трансляции пока не нажимайте кнопку «Запустить трансляцию».

Не закрывая вкладку создания трансляции, необходимо открыть в новой вкладке раздел «Видео» в Студии: https://studio.rutube.ru/videos, далее кликните на появившуюся там созданную трансляцию.

В настройках «Ролика» (стрима) измените значение параметра доступа с «Открытый доступ» на «Доступ по прямой ссылке» и нажмите сохранить.

Теперь необходимо перейти в OBS (или любая другая программа для ведения эфиров), возвращайтесь во вкладку со страницей трансляции и запускайте ее.

Далее можете разослать ссылку на трансляцию вашим зрителям. "|ТРАНСЛЯЦИЯ|Управление трансляцией|Как изготовить личный стрим, чтобы никто не видил?|1. Как запустить стрим так, чтобы его никто не заметил?|2. Как организовать трансляцию, чтобы никто её не увидел?|3. Как настроить стрим, чтобы он был скрыт от остальных?
647|Написана, что нужно подтвердить телефон, зачем?|Производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.|Зачем нужно подтверждать номер телефона?|Это единичная процедура, которая защищает наших пользователей от разного рода вредоносного контента. Кроме того, производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.|ТРАНСЛЯЦИЯ|Управление трансляцией|Написана, что нужно подтвердить мобильник, зачем?|1. Написано, что надо подтвердить телефон, зачем это?|2. Написали, что нужно подтвердить номер, а для чего?|3. Говорят, подтверждайте телефон, а смысл какой?
648|Зачем привяхывать телефон?|Это требование закона  (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.|Зачем нужно подтверждать номер телефона?|Это единичная процедура, которая защищает наших пользователей от разного рода вредоносного контента. Кроме того, производить идентификацию пользователей нас обязывает российское законодательство (ФЗ от 27.07.2006 №149-ФЗ). Подтверждать номер телефона нужно только в том случае, если вам требуется доступ к запуску прямого эфира на RUTUBE.|ТРАНСЛЯЦИЯ|Управление трансляцией|Зачем привяхывать телефон?|1. Для чего закреплять телефон?|2. А смысл крепить телефон?|3. Зачем вообще фиксировать телефон?
649|как подтвердить телефон?|Введите ваш номер телефона в поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.|Как проходит подтверждение номера телефона?|Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.|ТРАНСЛЯЦИЯ|Управление трансляцией|как подтвердить мобильник?|1. Как верифицировать телефон?|2. Что нужно сделать, чтобы подтвердить номер телефона?|3. Как пройти подтверждение по мобильному?
650|как мне подтвердить номер телефона?|Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.|Как проходит подтверждение номера телефона?|Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.|ТРАНСЛЯЦИЯ|Управление трансляцией|как мне подтвердить номер мобильника?|1. Как мне закрепить за аккаунтом свой номер телефона?|2. Где можно подтвердить номер телефона на моём профиле?|3. Подскажите, как верифицировать мой номер телефона?
651|каким образом подтверждаите номер ?|Мы просим вас ввести ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.|Как проходит подтверждение номера телефона?|Введите ваш номер телефона в соответствующее поле на первой странице раздела запуска трансляции: https://rutube.ru/create-stream/. В ответ на ваш запрос на указанный номер поступит звонок. Запомните последние 4 цифры номера телефона, с которого поступил звонок, и сбросьте его. Эти цифры необходимо будет ввести в соответствующее поле.|ТРАНСЛЯЦИЯ|Управление трансляцией|каким прообразом подтверждаите номер ?|1. Каким образом вы подтверждаете номер?|2. Подскажите, как подтверждается номер?|3. Как здесь происходит подтверждение номера?
652|Пишет что нужно заполнит загаловак для трансляции зачем?|Заголовок позволит зрителям найти вашу трансляцию.|Зачем нужен заголовок и описание для прямого эфира?|Заголовок трансляции дает зрителям дополнительную информацию о ее содержании. Рекомендуем вам придумать информативный и яркий заголовок, который, с одной стороны, будет раскрывать тему стрима, с другой — привлечет внимание пользователей RUTUBE и тем самым расширит вашу аудиторию. В описании вы можете указать дополнительную информацию и дать какие-либо ссылки.|ТРАНСЛЯЦИЯ|Управление трансляцией|Пишет что нужно заполнит загаловак для передачи зачем?|"1. ""Говорит, что нужно название для трансляции заполнить, ну а зачем?"""|"2. ""Требует указать заголовок для стрима, ну и зачем это нужно?"""|"3. ""Написано, что надо название для трансляции указать, а смысл какой?"""
653|заголовок и описание в эфире? зачемЕ?|Эта информация для ваших зрителей, в ней содержится краткое описание трансляции.|Зачем нужен заголовок и описание для прямого эфира?|Заголовок трансляции дает зрителям дополнительную информацию о ее содержании. Рекомендуем вам придумать информативный и яркий заголовок, который, с одной стороны, будет раскрывать тему стрима, с другой — привлечет внимание пользователей RUTUBE и тем самым расширит вашу аудиторию. В описании вы можете указать дополнительную информацию и дать какие-либо ссылки.|ТРАНСЛЯЦИЯ|Управление трансляцией|заголовок и описание в эфире? зачемЕ?|"1. ""'Заголовок и описание в эфире? Эмм... зачемЕ?'"""|"2. ""'Это что... заголовок и описание в эфире? зачемЕ?'"""|"3. ""'Так, заголовок и описание-то уже в эфире? А зачемЕ?'"""
654|Что за облошка на трансляции?|Обложка трансляции это то, что видят ваши зрители попадая на канал, не заходя на саму трансляцию. Её можно выставить перед началось трансляции.|Что такое обложка трансляции?|Вы можете загрузить обложку, которая будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.|ТРАНСЛЯЦИЯ|Управление трансляцией|Что за облошка на трансляции?|1. «Чё за облошка на стриме?»|2. «Какая-то странная облошка на трансляции, что ли?»  |3. «Чё-то с облошкой трансляции не то...»
655|лбложка трансляции что это?|Это изображение, которое будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.|Что такое обложка трансляции?|Вы можете загрузить обложку, которая будет отображаться в плеере в окне данной трансляции. Это можно сделать только до начала трансляции. Обложкой может стать любое изображение, которое не противоречит Пользовательскому соглашению: https://rutube.ru/info/agreement/. Для корректного отображения картинка (желательно в формате JPEG) должна иметь соотношение сторон 16:9 или 1920x1080 пикс.|ТРАНСЛЯЦИЯ|Управление трансляцией|лбложка трансляции что это?|"1. ""Эм, что за обложка трансляции такая?"""|"2. ""Объясните, что за обложка трансляции?"""|"3. ""Не пойму, что за обложка трансляции?"""
656|Что за чат в окне?|Чат отображается у вас во время ведения трансляции и позволяет вести коммуникацию с вашими зрителями.|Что такое онлайн-чат и как им управлять?|Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».|ТРАНСЛЯЦИЯ|Чат/Комментарии|Что за чат в окне?|1. А это что за окошко с чатом?|2. Что это тут за чат выскочил?|3. Это какой ещё чат тут появился?
657|онлайн чта какой-то что с ним делать?|Чат- это место для общения вас и ваших зрителей во время трансляции.|Что такое онлайн-чат и как им управлять?|Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».|ТРАНСЛЯЦИЯ|Чат/Комментарии|онлайн чта какой-то что с ним накликать?|1. Онлайн чат какой-то, и что с ним делать вообще?|2. Это что за онлайн чат такой? Как его использовать?|3. Онлайн чат, я так понял, и чего с ним делать теперь?
658|Чат онлайна куда мне его, как управлять?|Во время прямого эфира доступен чат, с помощью которого вы можете общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».|Что такое онлайн-чат и как им управлять?|Во время прямого эфира доступен онлайн-чат, с помощью которого автор трансляции может общаться со зрителями. При этом у автора есть возможность модерировать чат: наведите курсор мыши на сообщение, которое хотите модерировать, нажмите на многоточие (три точки) рядом с сообщением и выберете одно из трех действий: «‎Удалить сообщение», «‎Скрыть сообщение от других», «‎Заблокировать пользователя».|ТРАНСЛЯЦИЯ|Чат/Комментарии|Чат онлайна куда мне его, как руководить?|"1. ""Чат онлайна, что с ним делать, как вообще им управлять?"""|"2. ""Этот онлайн-чат, куда его запихнуть и как управлять-то?"""|"3. ""Чат в онлайне, и что, куда его ставить и как с этим разбираться?"""
659|после того как закончу стримить, что будет?|После этого запись стрима пройдёт дополнительную модерацию и будет сохранена как обычное видео.|Что произойдет с моей трансляцией после ее окончания?|После завершения трансляция переходит в техническую обработку. Время обработки зависит от технических параметров, длительности и нагрузки на оформление записи. Как только запись трансляции будет опубликована на вашем канале, вы сможете перейти в Студию: https://studio.rutube.ru/videos и скопировать актуальную ссылку, а также проверить качество картинки и звука. Также запись может появиться в разделе «Трансляции» и на главной странице RUTUBE. Процедура добавления видео в разделы и на главную страницу сайта осуществляется на основании внутренних процессов RUTUBE и происходит без участия автора трансляции.|ТРАНСЛЯЦИЯ|Управление трансляцией|после того как завершу стримить, что будет?|1. Когда со стримом покончу, что дальше-то будет?|2. И что делать после того, как стрим закончится?|3. Когда стрим финиширует — чего ожидать потом?
660|что с видео после стрима будет?|Видео будет сохранено на вашей странице.|Что произойдет с моей трансляцией после ее окончания?|После завершения трансляция переходит в техническую обработку. Время обработки зависит от технических параметров, длительности и нагрузки на оформление записи. Как только запись трансляции будет опубликована на вашем канале, вы сможете перейти в Студию: https://studio.rutube.ru/videos и скопировать актуальную ссылку, а также проверить качество картинки и звука. Также запись может появиться в разделе «Трансляции» и на главной странице RUTUBE. Процедура добавления видео в разделы и на главную страницу сайта осуществляется на основании внутренних процессов RUTUBE и происходит без участия автора трансляции.|ТРАНСЛЯЦИЯ|Управление трансляцией|что с видео после стрима будет?|1. Что будет с записью видео после стрима?|2. Видео после стрима сохранится, что ли?  |3. А видео-то после стрима останется?
661|Запись потока после окончания стирается?|Да, сохраняется. Она будет доступна как обычное видео.|Что произойдет с моей трансляцией после ее окончания?|После завершения трансляция переходит в техническую обработку. Время обработки зависит от технических параметров, длительности и нагрузки на оформление записи. Как только запись трансляции будет опубликована на вашем канале, вы сможете перейти в Студию: https://studio.rutube.ru/videos и скопировать актуальную ссылку, а также проверить качество картинки и звука. Также запись может появиться в разделе «Трансляции» и на главной странице RUTUBE. Процедура добавления видео в разделы и на главную страницу сайта осуществляется на основании внутренних процессов RUTUBE и происходит без участия автора трансляции.|ТРАНСЛЯЦИЯ|Управление трансляцией|Запись потока после истечения стирается?|1. После завершения стрима запись удаляется?|2. Если трансляция заканчивается, запись тоже исчезает?|3. Стрим после завершения автоматически удаляется?
662|Приватный стрим сохранится?|Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке. |Сохраняется ли приватная трансляция?|Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке.|ТРАНСЛЯЦИЯ|Управление трансляцией|интимный стрим сохранится?|1. Стрим будет сохранён в приват?|2. Приватный стрим останется в записи?|3. Сохранится ли стрим, если он приватный?
663|После окончания стрима по ссылке он сохраняется?|Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке. |Сохраняется ли приватная трансляция?|Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке.|ТРАНСЛЯЦИЯ|Управление трансляцией|После истечения стрима по ссылке он сохраняется?|"1. ""Стрим сохраняется после того, как он окончится по ссылке?"""|"2. ""Когда стрим завершится, он по той же ссылке доступен будет?"""|"3. ""По ссылке стрим останется, когда закончится?"""
664|Личный стрим, только для тех с кем я поделился ссылкой сохраниться?|Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке. |Сохраняется ли приватная трансляция?|Да, сохраняется. Как и видео с доступом по ссылке, записи таких трансляций не отображаются в списке роликов канала всем пользователям и доступны только по ссылке.|ТРАНСЛЯЦИЯ|Управление трансляцией|Личный стрим, только для тех с кем я поделился высылкой сохраниться?|1. Стрим, который только для тех, кому я скинул ссылку, сохранится?|2. Если я расшарил ссылку только для своих, стрим потом сохранится?|3. Этот стрим, доступный только по моей ссылке, сохранится или нет?
665|Запись трансляции можно удалить?|После загрузки записи, нажать на неё и выбрать пункт «Удалить».|Могу ли я удалить запись трансляции после ее окончания?|Да, вы можете удалить записанный стрим с RUTUBE так же, как и любое другое видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить». Обратите внимание: удаление ролика автором не предусматривает возможности его восстановления.|ТРАНСЛЯЦИЯ|Управление трансляцией|Запись трансляции можно вынуть?|1. А можно как-то удалить запись трансляции?|2. Удалить запись стрима можно?|3. Как удалить запись этой трансляции?
666|Можно избавиться от записи потока после окончания?|Да, это можно сделать, как и с обычным видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить».|Могу ли я удалить запись трансляции после ее окончания?|Да, вы можете удалить записанный стрим с RUTUBE так же, как и любое другое видео. Для этого нужно выбрать ролик, нажать на него и выбрать пункт «Удалить». Обратите внимание: удаление ролика автором не предусматривает возможности его восстановления.|ТРАНСЛЯЦИЯ|Управление трансляцией|Можно освободиться от записи потока после окончания?|1. Есть вариант удалить запись потока после его завершения?|2. После окончания стрима можно ли убрать запись?|3. А запись стрима можно стереть, когда он закончится?
667|Как скачать запись стрима?|Такой возможности нет, но мы передали вашу идею для отдела разработки.|Могу ли я скачать копию моей трансляции?|RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/|ТРАНСЛЯЦИЯ|Управление трансляцией|Как скачать стенограмма стрима?|1. Куда жать, чтобы скачать запись стрима?|2. Подскажите, как сохранить стрим на комп?|3. Как взять стрим себе на жёсткий диск?
668|хочу себе запись трансляции, чтобы подмонтировать потом, как сделать?|Пока такой возможности нет, но мы отдали запрос как идею для отдела разработки.|Могу ли я скачать копию моей трансляции?|RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/|ТРАНСЛЯЦИЯ|Управление трансляцией|хочу себе бумага трансляции, чтобы подмонтировать потом, как сделать?|1. 'Мне нужна запись трансляции, хочу потом подредактировать, как её добыть?'|2. 'Хочу достать запись стрима, чтобы в монтаже подправить, подскажите как это сделать?'|3. 'Как сохранить себе запись трансляции, чтобы после её смонтировать?'
669|Можно ли скаяать запись стрима?|Сейчас такой возможности нет, но мы отдали запрос как идею для отдела разработки.|Могу ли я скачать копию моей трансляции?|RUTUBE не предоставляет сервис по копированию и скачиванию видеороликов с сайта. Осуществление пользователями несанкционированных действий по копированию видеороликов нарушает правила Пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/|ТРАНСЛЯЦИЯ|Управление трансляцией|Можно ли скаяать бумага стрима?|1. Можно как-то скачать запись стрима?|2. Есть ли способ скачать стрим?|3. Как скачать запись стрима, это возможно?
670|Я сняла поздравления для внучка, а как мне его теперь загрузить к вам или только блогееры к вам могут загружать?|"Чтобы загрузить ролик:
1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ плеера со знаком плюс) в правом верхнем углу экрана или пройдите по этой ссылке https://studio.rutube.ru/uploader/
3. Выберите на устройстве видеофайл, который хотите загрузить;
4. Придумайте для него название и описание, выберите категорию;
5. Настройте доступ к видео. Если хотите, чтобы ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может поделиться ей с другими людьми."|Как загрузить видеоролик на сайт?|"1. Зарегистрируйтесь или авторизуйтесь на RUTUBE.
2. Нажмите на значок загрузки (символ «плеера со знаком плюс») в правом верхнем углу экрана или пройдите по этой ссылке: https://studio.rutube.ru/uploader/
3. Выберите на вашем устройстве видеофайл, который хотите загрузить.
4. Укажите название и описание, выберите категорию ролика.
5. Настройте доступ к видео.
Если хотите, чтобы ваш ролик могли посмотреть только те, с кем вы им поделились, в поле ""Параметры доступа"" выберите вариант «Только по ссылке». Такой ролик не будет находиться в поиске, и другие пользователи не увидят его в списке ваших роликов. Обратите внимание: если вы отправите кому-то ссылку на ролик, то получатель может ею поделиться с другими."|ВИДЕО|Загрузка видео|Я сняла поздравления для внучка, а как мне его теперь загрузить к вам или только блогееры к вам могут сливать?|"1. ""Я записала поздравление для внука, но не понимаю, как его загрузить, или только блогеры могут отправлять видео сюда?"""||"2. ""Сняла видео для внука, а как теперь залить его сюда, или у вас только блогеры загружают?"""
